id,name,area,experience,key_skills,description
128708016,Аналитик данных (Партнерства) | Data Analyst (Partnerships),Москва,От 1 года до 3 лет,"SQL, Python, Tableau, Power BI, Apache Airflow, Spark, Clickhouse","Наша команда Business Management в поиске аналитика на направление партнерств.  Обязанности:  развитие, автоматизация, поддержка ключевых дэшбордов компании подготовка ad-hoc аналитики по запросам бизнес-команд согласование методологий расчёта метрик с бизнес-владельцами оптимизация SQL-запросов и существующих аналитических решений поддержка корректности данных и контроль качества отчётности.  Требования:  1–2+ года опыта в аналитике данных владение SQL и Python на уровне написания эффективного кода опыт работы с BI-инструментами (Tableau, Power BI) навык подготовки аналитических выводов и рекомендаций коммуникационные навыки (работа со стейкхолдерами) базовое понимание ETL-процессов (Airflow, Spark, Clickhouse) опыт работы с большими объёмами данных.  Условия:  ​​​Работу в одной из крупнейших в России компаний в сфере e-commerce Конкурентоспособную заработную плату с бонусами по результатам работы MacBook Pro 13/16 ДМС и страхование от несчастных случаев (со 100% страхованием детей) Гибридный график работы (удаленка обсуждается отдельно)"
128710179,Data Scientist ( Computer Vision),Санкт-Петербург,От 1 года до 3 лет,"Computer Vision, Python, Docker, Git","Мы динамично развивающаяся IT- компания ООО «Лаборатория измерительных систем». Spinoff и startup ПАО «Северсталь», который успешно реализует инновационные решения на базе систем машинного зрения и машинного обучения. Продукты компании позволяют идентифицировать и классифицировать различные виды дефектов на всех видах поверхностей производимой продукции, контролировать соответствие фактических параметров и отслеживать показатели объекта контроля на любом типе производственного оборудования. Сейчас мы расширяем команду и ищем человека на роль Исследователя данных ( Data Scientist)Что входит в функционал:  анализ и проработка бизнес-требований; контроль технической стороны процесса разметки изображений; выбор оптимального дизайна решения задачи; прототипирование, обучение и валидация моделей; оценка качества, анализ ошибок, подготовка отчетов; оптимизация работы алгоритмов; реализация и интеграция модуля Data science в существующую архитектуру.  Что для нас важно:  высшее техническое образование; от 2 лет коммерческого опыта в области Computer Vision; уверенные знания Python и ключевых библиотек/фреймворков CV; понимание основ классического компьютерного зрения; опыт работы с задачами детекции, сегментации, классификации; навыки конвертации и оптимизации моделей; владение Git, Docker.  Будет плюсом :  опыт владения инструментами: CVAT, FiftyOne; оптимизация и деплой: ONNX, TensorRT, Triton; эксперимент-трекеры: ClearML, Weight & Biases; базы данных: SQL, Redis; аппаратная часть: профилометры, лидары, лазеры.​​​​​​​ Мы предлагаем:  мощную команду профессионалов; дополнительную мотивацию в виде полугодового бонуса, социальный пакет и скидки от партнеров; развитие нон-стоп. Мы вкладываемся в людей как в самое дорогое. Создаем авторские учебные курсы. Привлекаем внешних экспертов и наставников; гарантии стабильности. Трудоустраиваем по ТК РФ. Зарплата выплачивается 2 раза в месяц и регулярно индексируется; здоровье в приоритете. ДМС со стоматологией + доплата по больничному от 50 до 100 %; возможность удаленной работы или помощь при релокации в Череповец."
128704995,Data Аналитик,Москва,От 3 до 6 лет,,"Привет! Мы ищем в команду Data-аналитика (Middle+/Senior). ⠀ Для нас привлекательны следующие знания и опыт:  Опыт участия в проектах миграции ETL-систем (Apache стек) в качестве аналитика данных; Опыт проектирования архитектуры для Spark, NiFi, Airflow; Работа со сложными SQL-запросами (оконные функции, джоины), опыт оптимизации запросов для highload-среды; Опыт проектирования интеграций Apache-стека с Kafka и BI-системами; Работа с Grafana/Prometheus;    Решайте интересные задачи:  Участие в миграции ИС на Apache стек; Подготовка документации и составление SQL запросов.    Мы ждем тебя в команду SSP SOFT!"
128713985,"Junior Data Scientist в Отложенный платеж [Big Data, МТС Веб Сервисы]",Москва,От 1 года до 3 лет,"Python, Spark, Hadoop, SQL, Apache Airflow","BIG DATA МТС – место, где телеком данные превращаются в реально работающие IT-продукты. Мы создали и протестировали несколько десятков сервисов. Самые успешные из них уже стали частью экосистемы МТС. Например, МТС Маркетолог, рекомендации в KION (МТС ТВ), услуга “Кто звонит?” или Спам blacklist.   КОГО МЫ ИЩЕМ?   JUNIOR DATA SCIENTIST В ПРОДУКТ ОТЛОЖЕННЫЙ ПЛАТЕЖ   ОПИСАНИЕ ПРОДУКТА:Наш продукт представляет собой решения в области отложенного платежа и финансовых сервисов. Мы специализируемся на формировании и оптимизации лимитов, а также на сегментации пользователей для услуг МТС Лимит, Обещанный платеж и мобильной коммерции. При помощи технологий Big Data и ML мы осуществляем тщательный анализ данных, что позволяет предлагать индивидуализированные финансовые решения для наших клиентов. ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ  Разрабатывать системы принятия решений (СПР) на основе рисковых скоров и фичей для продуктов телеком: Обещанный платеж, МТС Лимит Анализировать различные источники данных, оценивая их логику формирования, заполненность и полноту. Превращать гипотезы в работающие модели машинного обучения Писать ML production-ready код на Python.  ЧТО НУЖНО ДЛЯ ЭТОЙ РАБОТЫ  Опыт построения моделей машинного обучения ( Желание глубоко изучать предметную область и специфику продукта. Знание основ работы с большими данными и опыт их обработки (SQL, Spark, Hadoop). Уверенные знания Python и библиотек для машинного обучения (CatBoost, PyTorch, Pandas, scikit-learn, pytorch). Понимание принципов работы с микросервисами на Python, Docker, Airflow и SQL/NoSQL базами данных.  БУДЕТ ПЛЮСОМ  Опыт внедрения ML-пайплайнов в production сервисы Опыт работы с рисковыми моделями (pd - probability of default модели)  ЧТО ПРЕДЛАГАЕМ  Работу в современной надёжной цифровой компании Достойную заработную плату Agile-культуру: продуктовые команды, Scrum и Kanban, демо-дни, внутренние митапы и таунхоллы Доступ к корпоративной библиотеке Alpina, корпоративному университету МТС и программам развития Отсутствие дресс-кода, гибкий формат работы Комфортный и стильный офис в двух минутах от м. Технопарк Корпоративное кафе «Мечта» и отличный кофе на первом этаже БЦ Специальный тариф на мобильную связь для тебя и близких Предложения от партнёров банка и МТС Заботу о тебе и твоей семье: ДМС со стоматологией, сессиями с психологом и госпитализацией. К ДМС можно подключить детей и родственников. А ещё доступ к телемедицине BestDoctor Поддержку сотрудников: программа материальной помощи в различных жизненных ситуациях"
128715313,Data scientist (с релокацией),Москва,От 3 до 6 лет,,"Fintech компания AMarkets с 2007 года предоставляет передовые решения для торговли на финансовых рынках для трейдеров и инвесторов во всем мире. Мы строим глобальную компанию, конкурируем с мировыми игроками и, главное, получаем удовольствие, занимаясь любимым делом. В связи с ростом объема задач открыта новая позиция Data scientist. Вы будете решать следующие задачи:   Разработка моделей прогнозирования и моделирования различных бизнес процессов   Сбор, валидация и анализ данных из корпоративных информационных систем;   Анализ исторических данных;   Построение алгоритмических математических моделей;   Разработка и обучение нейронных сетей;   Анализ и прогноз временных рядов;   Кластеризация и сегментация клиентской базы;   Выдвижение и проверка гипотез для улучшения ключевых показателей эффективности бизнеса;   Разработка моделей скоринга клиентов;   Разработка новых показателей (метрики, KPI).   Требования:   Опыт работы в FinTech: брокерских, букмекерских компаниях или игорной индустрии;   Высшее образование в таких предметных областях, как: математика, финансы или экономика, информатика, физика, инженерия или аналогичные;   Исследовательский склад ума: быть глубоким мыслителем, творческим человеком, настойчивым, умным, инициативным, внимательным к деталям и т. д.;   Критическое мышление и способность находить нестандартные подходы;   Уверенное владение инструментами BI аналитики, а также знание MySQL, Google Big Query, Python, Hadoop, Git;   Английский язык: B2   Условия:   Обязательная релокация в европейское подразделение компании;    Комфортабельный офис, отличный климат и условия проживания. Переезд и легализация за счет компании.   Программа бенефитов после 1 года работы в компании.   ДМС, программа лояльности.  В обмен на светлую голову и золотые руки мы предлагаем конкурентную заработную плату в USD.  Амбициозные задачи.   Сплоченная команда профессиональных единомышленников - конкретно знаем чего хотим и готовы сопровождать на всех этапах."
128698839,Стажер Data Scientist CV (команда CV),Москва,От 1 года до 3 лет,,"Мы занимаемся разработкой и внедрением CV-моделей в бизнес-процессы банка. В числе наших успешных проектов - мобильные и серверные модели распознавания документов (банковские карты, паспорта, водительские удостоверения, различные страховые полисы и т.д.), а также дообученные VLM на извлечение данных из неструктурированных документов.Обязанности  Обучать модели Исследовать новые подходы и архитектуры для решения бизнес-кейсов Анализировать данные в соответствии с условиями задачи, контроль качества датасетов Разрабатывать эффективный production-код инференса моделей. Требования  Имеет опыт в CV, отлично понимает архитектуры DL, трансформеров и тонкости их обучения Готов погружаться в бизнес-задачи и генерировать решения Опыт работы в команде, pytorch, git, dvc, mlflow/clearml, pytest. Условия  Комфортный современный офис рядом с м. Кутузовская Формат работы - офис Очное обучение на 4 курсе бакалавриата или 1-2 курсе магистратуры Корпоративный спортзал и зоны отдыха Более 400 образовательных программ СберУниверситета для профессионального и карьерного развития Вознаграждение за рекомендацию друзей в команду Сбера."
128703036,Lead Data/Product Analyst,Минск,Более 6 лет,"SQL, Power BI, Python, Data Analysis, Продуктовые метрики","Вакансия открыта в международном финансовом холдинге.Обязанности:   Оцифровка, оптимизация, автоматизация бизнес-процессов – воронки продаж, маркетинговая отчетность, каналы привлечения и т. д.;   Прикладная бизнес-аналитика на базе сформированных отчетов. Общение с топ-менеджментом в целях развития бизнеса;   Разработка отчетности в Power BI;   Написание различной сложности SQL скриптов;   Возможно использование Python в целях автоматизации и организации ETL процессов.   Требования:   Выпускник с математическим/техническим образованием;   Имеешь опыт работы аналитиком от 5ти лет;   Имеешь опыт руководства командой или наставничества;   Знаешь английский язык (можешь уверенно поддерживать устный диалог - у нас есть регулярные встречи на английском);   Обладаешь уверенными знаниями SQL (высокий уровень);   Имеешь опыт с Power BI / DAX - будет плюсом.     Условия:   Прозрачная система мотивации и развития.   Отсутствие бюрократии, высокая степень свободы.   Отсутствие бюрократии, высокая степень свободы. Решения принимаются очень быстро;   Возможность получить эксклюзивные, востребованные компетенции: научит   Мы готовы активно вкладывать в развитие перспективного сотрудника - активное наставничество, погружение, обучение.Ждем ваш отклик!"
128704383,Data Scientist в команду ETA/RTA,Новосибирск,Более 6 лет,"Python, SQL, Математическая статистика, ML, Data Science, pandas, Numpy","Мы расширяем команду ETA/RTA 2ГИС и ищем Data Scientist-а уровня Middle или Senior.Команда ETA/RTA 2ГИС применяет анализ данных и машинное обучение для задач навигации и геоаналитики. Мы определяем, где на дорогах находятся пробки, прогнозируем время в пути для автомобилей и общественного транспорта, а также помогаем пользователям видеть местоположение друзей на карте.   Почему это интересно?  Настоящий highload. Каждый день мы обрабатываем миллиарды GPS-точек и предсказываем время в пути для миллионов маршрутов; Научный подход. В основе каждого улучшения лежит анализ данных, эксперименты и A/B-тесты; Реальные результаты. Вы увидите плоды своей работы прямо в приложении 2ГИС: пробки, маршруты, предсказания времени прибытия транспорта, друзья на карте.  Чем предстоит заниматься?  Делать работу навигатора более персонализированной; Разрабатывать алгоритмы трекинга и предсказания движения пользователей на основе их исторических данных; Исследовать возможности улучшения качества геоданных и маршрутизации; Разрабатывать и запускать ML-модели в проде (от идеи до сервиса в Kubernetes); Анализировать различные источники данных в компании; Разрабатывать метрики, проводить A/B-тесты и визуализировать результаты в дашбордах.  Что важно для нас?  Опыт работы в Data Science от 3 лет; Отличное знание Python и SQL (работаем со Spark SQL); Хорошее понимание математической статистики и классического ML; Опыт работы с Pandas, NumPy, Scikit-learn, XGBoost, LightGBM; Умение визуализировать данные (Plotly, Dash, Folium, Leaflet); Опыт работы с инструментами CI/CD (Git, Jenkins, GitLab); Навыки оптимизации кода по памяти и времени выполнения; Опыт работы с Docker и контейнеризацией.  Будет плюсом  Знание асинхронного программирования в Python; Опыт работы с Kubernetes, Prometheus, Grafana, Kafka; Опыт анализа геоданных, временных рядов, графов; Проведение A/B-тестов и анализ их результатов; Участие в ML-соревнованиях (Kaggle, Boosters.pro и т. д.).  Почему у нас классно?  Мы аккредитованная IT — компания. У нас можно работать удалённо. Для нас важен специалист, а не его локация. Если хочешь работать в гибридном формате, у нас есть офисы в Москве, Санкт-Петербурге, два классных офиса в Новосибирске. Нет дресс-кода и строгого графика: главное, чтобы было удобно тебе и команде. Используем современные технологии и любим о них говорить: выступаем на конференциях и сами их организуем. Стараемся регулярно устраивать тимбилдинги, так как считаем, что хорошие отношения — залог продуктивной работы."
128698205,Senior Data Scientist CV/NLP [Рейтинги и отзывы],Москва,От 3 до 6 лет,"NLP, CV, Machine Learning, Deep Learning, Document OCR, PyTorch, Python, Fraud Detection, Anomaly Detection, Network Analysis, ML","Объединённая компания Wildberries и Russ — это международная технологическая компания, образованная в результате слияния двух лидеров рынка — IT-компании Wildberries и оператора наружной рекламы Russ. Вместе с масштабным развитием IT-направления мы формируем культуру Trust and Safety, гарантируя непрерывную безопасность и доверие между компанией, её сотрудниками, пользователями и клиентами. Команда ""Рейтинги и отзывы"" — важная часть этого направления. Мы отвечаем за модерацию отзывов о товарах и пунктах выдачи заказов, а также за вопросы продавцам. Наши задачи включают борьбу с накрутками отзывов, мошенничеством и прочим непотребством, которое не должно доходить по пользователей. Человека ищем в команду, которая занимается всем с точки зрения deep learning. Наши задачи:   Улучшение текстовой модерации: модели спама, мата, уводов, токсичности, сентимента и тд   Улучшение модерации фото и видео: интим, харм, спам и тд   Подключение к модерации новых продуктов (модерация отзывов и других текстов): wb travel, nda     Необходимые опыт и навыки:   Глубокий опыт в области CV, наличие опыта дополнительно в NLP будет плюсом;   Опыт выполнения ML/технических проектов, выполненных с нуля до выкатки   Продуктовое мышления (роль имеет очень высокую бизнес-ориентированность)   Проактивность в коммуникациях, решениях, работе с рисками   Умение вести проект самостоятельно (валидация входных данных, риски, стейкхолдеры, работа с ресурсами, упаковка результатов и т.д.     Будет плюсом, если у тебя есть:   Имеете опыт работы с CV сложнее классификации: детекция, сегментация и подобные задачи;  Имеете опыт (до)обучения CV моделей;  Опыт работы в сфере Trust & Safety/антифрода/безопасности;   Опыт работы с живыми конечными пользователями, понимание как и зачем люди используют твои решения;   Опыт работы с большими потоками данных     Что мы предлагаем:  Обучение и развитие: языковые клубы, собственный корпоративный университет, программы развития управленческих навыков и многое другое; Благополучие сотрудников: корпоративный пакет ДМС со стоматологией, корпоративный спорт, консультации психолога и дополнительные возможности аккредитованной IT-компании; Множество сообществ: клуб спикеров, футбола, йоги, шахмат и т.д.; Забота о семьях: создаем условия, в которых легко сочетать карьеру и заботу о близких – от гибкого подхода до масштабных проектов для детей сотрудников; Скидки и партнерские программы: на обучение, страхование, покупки и многое другое; Комфортная рабочая среда: бесплатное питание в офисе, современные офисы рядом с метро, корпоративная техника и портал для сотрудников."
